country_code_cow,year,rile,party_strength,partyname,right_of_center
2,1970,,,,
2,1971,,,,
2,1972,-21.0,0.5586206896551724,Democratic Party,0.0
2,1973,-21.0,0.5586206896551724,Democratic Party,0.0
2,1974,-21.0,0.5586206896551724,Democratic Party,0.0
2,1975,-21.0,0.5586206896551724,Democratic Party,0.0
2,1976,-19.8,0.671264367816092,Democratic Party,0.0
2,1977,-19.8,0.671264367816092,Democratic Party,0.0
2,1978,-19.8,0.671264367816092,Democratic Party,0.0
2,1979,-19.8,0.671264367816092,Democratic Party,0.0
2,1980,-21.2,0.5586206896551724,Democratic Party,0.0
2,1981,-21.2,0.5586206896551724,Democratic Party,0.0
2,1982,-21.2,0.5586206896551724,Democratic Party,0.0
2,1983,-21.2,0.5586206896551724,Democratic Party,0.0
2,1984,-14.1,0.5816091954022988,Democratic Party,0.0
2,1985,-14.1,0.5816091954022988,Democratic Party,0.0
2,1986,-14.1,0.5816091954022988,Democratic Party,0.0
2,1987,-14.1,0.5816091954022988,Democratic Party,0.0
2,1988,-7.0,0.5977011494252874,Democratic Party,
2,1989,-7.0,0.5977011494252874,Democratic Party,
2,1990,-7.0,0.5977011494252874,Democratic Party,
2,1991,-7.0,0.5977011494252874,Democratic Party,
2,1992,12.5,0.593103448275862,Democratic Party,1.0
2,1993,12.5,0.593103448275862,Democratic Party,1.0
2,1994,12.5,0.593103448275862,Democratic Party,1.0
2,1995,12.5,0.593103448275862,Democratic Party,1.0
2,1996,24.217,0.5218390804597701,Republican Party,1.0
2,1997,24.217,0.5218390804597701,Republican Party,1.0
2,1998,24.217,0.5218390804597701,Republican Party,1.0
2,1999,24.217,0.5218390804597701,Republican Party,1.0
2,2000,33.314,0.5080459770114942,Republican Party,1.0
2,2001,33.314,0.5080459770114942,Republican Party,1.0
2,2002,33.314,0.5080459770114942,Republican Party,1.0
2,2003,33.314,0.5080459770114942,Republican Party,1.0
2,2004,25.903,0.5310344827586206,Republican Party,1.0
2,2005,25.903,0.5310344827586206,Republican Party,1.0
2,2006,25.903,0.5310344827586206,Republican Party,1.0
