id,country_code_cow,year,country,country_abbrev_cow,continent,in_iiss,spec_raw,spec_intscale,spec_extscale,spec_stand,decade,coastline_km,land_boundary_length_km,bordering_states,land_area,land_boundary_length_mi,coastline_mi,land_boundary_length_log,coastline_log,highered_percent,dca_count,dca_binary,irst_MC,tpop_MC,upop_MC,cinc_MC,milex_MC,milper_MC,pec_MC,mf_mc_OFI,milex_MC_log,milex_SIPRI,area_WDI,area_land_WDI,gdp_WDI,gdppc_WDI,journal_WDI,patapps_WDI,pop_WDI,gdp_WDI_PW,gdppc_WDI_PW,pop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,lnpop_WDI_PW,lngdp_WDI,lngdppc_WDI,lnpop_WDI,gdp_WDI_full,gdppc_WDI_full,pop_WDI_full,lngdp_WDI_full,lngdppc_WDI_full,lnpop_WDI_full,WTOmem_MEM,NATOmem_MEM,EUmem_MEM,OECDmem_MEM,NATOdur_MEM,polity_P4,polity2_P4,military_GE,numislands_AP,archipelago_AP,lnislands_AP,democracy,milex_allies,cinc_allies_ratio,atop_lengthmax,atop_lengthavg,greatpower,rivalry,interstatewar_count,interstatewar_binary,interstatewar_5yrlag_binary,mid_count,mid_binary,mid_fatal_count,mid_fatal_binary,gibler_count,gibler_binary,gibler_fatal_count,gibler_fatal_binary,latentthreat,stateabb,year_base,year_sq,year_cube,rile,party_strength,partyname,right_of_center,rr_jntdem,rr_priorviol,rr_rile_a,rr_rile_b,rr_s_un_glo,rr_tot_rivals,rr_moent,rr_dayent,rr_totmids2,rr_totmids5,rr_undist,rr_inst,rr_coldwar,rr_interact,rr_symm,rr_concon,rr_conmod,rr_libmod,rr_con_norile,rr_lib_norile,rr_mod_norile,rr_cinc_rile,rr_cinc_rile2,rr_strngcon,rr_strnglft,rr_wkcon,rr_wklft,rr_strngmod,rr_wkmod,rr_mxd,rr_modmod,rr_strng_norile,rr_wk_norile,rr_cap_a,rr_cap_b,rr_lncprtio,rr_active,rr_cond_act,rr_noact_cnd,rr_cnflct_cnd,rr_cnflct_cnd2,rr_strngconXcap,rr_strnglftXcap,rr_s_norileXcap,rr_wkconXcap,rr_wklftXcap,rr_wk_norileXcap,rr_voice4,rr_voice3,rr_rile_norile,rr_liblib,rr_nr_dem,rr_nr_nodem,rr_strng_nrdem,rr_wk_nrdem,rr_strng_nrnodem,rr_wk_nrnodem,rr_nrdem_lft,rr_nrdem_con,rr_nrdem_mod,rr_nrnodem_lft,rr_nrnodem_con,rr_nrnodem_mod,rr_defcommit,rr_hierarch,dyad_count
3,2,1972,United States,USA,Americas,1.0,7.318723624705418,0.1076282885986091,0.3948805584549942,0.3175932646437902,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,120875,209896.0,55652.0,0.16474316,77639000,2323,2396418,,18.167580449103475,493386.56389208569,9629090.0,9158960.0,5173903810639.66,24649.844735677,,,209896000.0,5635836299000.0,26850.6131560392,209896000.0,29.360166663943435,10.198043936027819,19.162122727915616,29.27464860861112,10.112525880695502,19.162122727915616,5173903810639.66,24649.844735677,209896000.0,29.27464860861112,10.112525880695502,19.162122727915616,0.0,1.0,0.0,1.0,23.0,8.0,18.0,,6.0,1.0,1.945910096168518,1,12.344134698716175,0.6032145047852665,25,18,1,1.0,2.0,1.0,,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0030510957132811,USA,2.0,4.0,8.0,-21.0,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,1973,United States,USA,Americas,1.0,5.820120060276384,0.08559000088641741,0.31402364367455654,0.047757455217150344,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,136804,211909.0,55743.0,0.15881944,78385000,2206,2490304,,18.177143153242312,468877.74566321436,9629090.0,9158960.0,5466007905455.41,25794.1281656532,,,211909000.0,5954019981000.0,28097.0604410384,211909000.0,29.4150877344117,10.24342023921056,19.171667495201138,29.32956964972965,10.157902154528507,19.171667495201138,5466007905455.41,25794.1281656532,211909000.0,29.32956964972965,10.157902154528507,19.171667495201138,0.0,1.0,0.0,1.0,24.0,8.0,18.0,,6.0,1.0,1.945910096168518,1,12.36108831084743,0.604917847276042,26,19,1,1.0,2.0,1.0,,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.00297020835315277,USA,3.0,9.0,27.0,-21.0,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1974,United States,USA,Americas,1.0,6.6883514369532815,0.09835810936696002,0.36086892824480443,0.20408960459681416,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,132196,213854.0,55736.0,0.15269861,85906000,2146,2430725,,18.268764244817046,462755.19993174809,9629090.0,9158960.0,5436461589443.51,25421.3696701652,,,213854000.0,5921835427000.0,27691.0201679651,213854000.0,29.4096675551171,10.228863457955287,19.18080409716182,29.3241495220495,10.143345424887682,19.18080409716182,5436461589443.51,25421.3696701652,213854000.0,29.3241495220495,10.143345424887682,19.18080409716182,0.0,1.0,0.0,1.0,25.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.396879382004506,0.6158244413396453,27,20,1,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00298765935360054,USA,4.0,16.0,64.0,-21.0,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,1975,United States,USA,Americas,1.0,7.230750567554372,0.10633456716991724,0.39013398627681656,0.3017529973125611,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,0.133,,,105897,215973.0,55728.0,0.14394777,90948000,2098,2393766,,18.32579848357746,437341.55198256642,9629090.0,9158960.0,5425291617343.7,25120.2308498919,,,215973000.0,5909668657000.0,27362.9974904271,215973000.0,29.40761088096945,10.216946923134165,19.190663957835287,29.322092768259427,10.13142881042414,19.190663957835287,5425291617343.7,25120.2308498919,215973000.0,29.322092768259427,10.13142881042414,19.190663957835287,0.0,1.0,0.0,1.0,26.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.43285914453015,0.6238286769750226,28,21,1,1.0,0.0,0.0,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.00286211557937371,USA,5.0,25.0,125.0,-21.0,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,1976,United States,USA,Americas,1.0,7.398119275913713,0.10879587170461343,0.39916433807227564,0.331889099991618,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,116121,218035.0,55721.0,0.14246269,91013000,2075,2536257,,18.326512922408313,425444.83831875713,9629090.0,9158960.0,5717613883133.8,26223.3764447625,,,218035000.0,6228089836000.0,28564.6333662027,218035000.0,29.46009079433063,10.259924636005396,19.20016615832523,29.374572680989328,10.174406522664091,19.20016615832523,5717613883133.8,26223.3764447625,218035000.0,29.374572680989328,10.174406522664091,19.20016615832523,0.0,1.0,0.0,1.0,27.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.540785156083224,0.6382312582539484,29,22,1,1.0,0.0,0.0,1,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.00286176477330407,USA,6.0,36.0,216.0,-19.8,0.671264367816092,Democratic Party,0.0,0.0,0.0,0.7,,0.434879,12.0,1.0,24.0,9.0,20.0,1.458262,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1424627,0.0118364,2.4879007,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.4879007,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8,2,1977,United States,USA,Americas,1.0,8.863223060966659,0.13034151560245086,0.47821377763346956,0.5956930005811768,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,113701,220239.0,55713.0,0.14182441,100925000,2060,2619481,,18.429888234611628,441500.99553603749,9629090.0,9158960.0,5982005451922.12,27161.4266861097,,,220239000.0,6516086243000.0,29586.432207738,220239000.0,29.505295042154728,10.295071163867684,19.210223878287046,29.41977698752374,10.209553109236692,19.210223878287046,5982005451922.12,27161.4266861097,220239000.0,29.41977698752374,10.209553109236692,19.210223878287046,0.0,1.0,0.0,1.0,28.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.574972146751888,0.6393219833896783,30,21,1,1.0,0.0,0.0,1,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.00288831165221636,USA,7.0,49.0,343.0,-19.8,0.671264367816092,Democratic Party,0.0,0.0,0.0,-19.8,,0.719298,9.0,9.0,7.0,9.0,22.0,2.492708,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-19.8,-19.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1418244,0.0002996,6.159897,1.0,1.0,0.0,3.0,3.0,0.0,6.159897,0.0,0.0,0.0,6.159897,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
9,2,1978,United States,USA,Americas,1.0,10.313988102950125,0.1516762956316195,0.5564895726138372,0.8569150933903785,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,124314,222585.0,56208.0,0.13967438,109247000,2060,2612982,,18.509121940762277,444293.89987740241,9629090.0,9158960.0,6313127560814.84,28362.7717987054,,,222585000.0,6876771488000.0,30895.0355504639,222585000.0,29.559170397271537,10.338350788181064,19.220819609090473,29.473652321163254,10.252832712072781,19.220819609090473,6313127560814.84,28362.7717987054,222585000.0,29.473652321163254,10.252832712072781,19.220819609090473,0.0,1.0,0.0,1.0,29.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.606166911174428,0.6443077428214142,31,19,1,1.0,0.0,0.0,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.00273376786175081,USA,8.0,64.0,512.0,-19.8,0.671264367816092,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,1979,United States,USA,Americas,1.0,10.84084024383616,0.1594241212328847,0.5849157953111945,0.9517791236506465,1970,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,,,123688,225055.0,56702.0,0.13721611,122279000,2033,2659868,,18.621815885179245,446843.83349276177,9629090.0,9158960.0,6513010666187.2,28939.6399377361,,,225055000.0,7094500066000.0,31523.4056830553,225055000.0,29.59034096119676,10.358485586455298,19.231855374741464,29.504822933167997,10.272967558426531,19.231855374741464,6513010666187.2,28939.6399377361,225055000.0,29.504822933167997,10.272967558426531,19.231855374741464,0.0,1.0,0.0,1.0,30.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.626246093346158,0.6531673745705704,32,20,1,1.0,0.0,0.0,0,8.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.00272422551420428,USA,9.0,81.0,729.0,-19.8,0.671264367816092,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1980,United States,USA,Americas,1.0,7.194574548246229,0.10580256688597396,0.38818211496159755,0.29523920962144107,1980,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,0.1674,4,1,101456,227726.0,57197.0,0.13311459,143981000,2050,2584210,,18.785191911335758,445812.65902166575,9629090.0,9158960.0,6496288385536.04,28589.6727276314,,62098.0,227225000.0,7076284960000.0,31142.1936846738,227225000.0,29.587770162754957,10.34631888878585,19.24145127396911,29.502252112127657,10.260800838158548,19.24145127396911,6496288385536.04,28589.6727276314,227225000.0,29.502252112127657,10.260800838158548,19.24145127396911,0.0,1.0,0.0,1.0,31.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.650540750035848,0.6606277093261617,33,21,1,1.0,0.0,0.0,0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.00278479199367206,USA,10.0,100.0,1000.0,-21.2,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,1981,United States,USA,Americas,1.0,13.222732881330497,0.1944519541372132,0.7134304302536312,1.3806583436533788,1980,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,4,1,109614,229966.0,57825.0,0.13800748,169888000,2101,2502657,,18.950649960251766,496574.04394788836,9629090.0,9158960.0,6661145910559.28,29028.901495469,,62404.0,229466000.0,7255861209000.0,31620.6375192839,229466000.0,29.612830700802107,10.361565272460401,19.251265428341704,29.52731264432299,10.276047215981286,19.251265428341704,6661145910559.28,29028.901495469,229466000.0,29.52731264432299,10.276047215981286,19.251265428341704,0.0,1.0,0.0,1.0,32.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.644382510628798,0.6406236064915152,34,23,1,1.0,0.0,0.0,0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.00282192329952225,USA,11.0,121.0,1331.0,-21.2,0.5586206896551724,Democratic Party,0.0,1.0,0.0,22.4,10.598,0.379455,11.0,11.0,30.0,12.0,28.0,0.306008,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.4,22.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380075,0.0032868,3.7373936,1.0,1.0,0.0,3.0,4.0,3.7373936,0.0,0.0,3.7373936,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,2,1982,United States,USA,Americas,1.0,12.568110572462611,0.18482515547739134,0.6781103886509872,1.2627882512721413,1980,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,6,1,67656,232188.0,58453.0,0.1295889,196345000,2168,2380353,,19.09538387902579,587279.96914003196,9629090.0,9158960.0,6541053812679.95,28235.0896672765,,63316.0,231664000.0,7125046201000.0,30755.9491375441,231664000.0,29.594637326413118,10.333838722409778,19.26079860400334,29.50911940185436,10.248320797851019,19.26079860400334,6541053812679.95,28235.0896672765,231664000.0,29.50911940185436,10.248320797851019,19.26079860400334,0.0,1.0,0.0,1.0,33.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.68534596508479,0.6520224175626721,35,22,1,1.0,0.0,0.0,0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.00285704355997314,USA,12.0,144.0,1728.0,-21.2,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,1983,United States,USA,Americas,1.0,15.083309428584446,0.22181337394977127,0.813817539222714,1.7156703445221826,1980,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,8,1,76762,234307.0,58856.0,0.1329419,217198000,2201,2378677,,19.196319942482624,573501.94003514829,9629090.0,9158960.0,6840890965131.48,29260.5861840075,,59391.0,233792000.0,7451652146000.0,31872.9988451273,233792000.0,29.639456888297648,10.369514499160557,19.269942389137093,29.553939097140322,10.28399670800323,19.269942389137093,6840890965131.48,29260.5861840075,233792000.0,29.553939097140322,10.28399670800323,19.269942389137093,0.0,1.0,0.0,1.0,34.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.697903314277081,0.6425050581740409,36,24,1,1.0,0.0,0.0,0,12.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,0.00271960174258292,USA,13.0,169.0,2197.0,-21.2,0.5586206896551724,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,1984,United States,USA,Americas,1.0,15.189031670011888,0.22336811279429247,0.819521765789633,1.7347064974228605,1980,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,,8,1,83940,236348.0,59259.0,0.13559404,237052000,2222,2467563,,19.283790088533895,603216.66910356737,9629090.0,9158960.0,7335940248452.77,31107.5596245214,,61841.0,235825000.0,7990900876000.0,33884.8759715891,235825000.0,29.709324619788926,10.430724057288735,19.27860056250019,29.623806705873093,10.3452061433729,19.27860056250019,7335940248452.77,31107.5596245214,235825000.0,29.623806705873093,10.3452061433729,19.27860056250019,0.0,1.0,0.0,1.0,35.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.703276314479266,0.6353766355975904,37,24,1,1.0,0.0,0.0,0,7.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.00278617185396071,USA,14.0,196.0,2744.0,-14.1,0.5816091954022988,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,1985,United States,USA,Americas,1.0,15.443330545420064,0.22710780213853035,0.8332424207951975,1.780495086553965,1980,19924.0,1203400.0,Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km,9147420.0,747757.8614,12380.195804,13.524834489843816,9.423853362268602,0.18510000000000001,8,1,80067,238466.0,60260.0,0.13731457,245154000,2244,2466405,,19.317397146548366,646659.33887529513,9629090.0,9158960.0,7641823717826.45,32118.7594266507,,63673.0,237924000.0,8324093971000.0,34986.3568660581,237924000.0,29.750175313560078,10.46271346065138,19.2874618529087,29.664657397142896,10.377195544234194,19.2874618529087,7641823717826.45,32118.7594266507,237924000.0,29.664657397142896,10.377195544234194,19.2874618529087,0.0,1.0,0.0,1.0,36.0,10.0,20.0,,6.0,1.0,1.945910096168518,1,12.723389908233056,0.631537020320121,38,26,1,1.0,0.0,0.0,0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.00253940729265487,USA,15.0,225.0,3375.0,-14.1,0.5816091954022988,Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
